Ativo	Movimentação	Data	Quantidade	Preço unit	Preço Total (R$)
ABEV3	Compra	21/06/2017	100	18,63	1.863,00
WEGE3	Compra	22/06/2017	100	18,14	1.814,00
GRND3	Compra	14/07/2017	100	28,49	2.849,00
PSSA3	Compra	08/03/2017	100	32,16	3.216,00
MDIA3	Compra	08/08/2017	100	48,89	4.889,00
SAUD3	Compra	08/08/2017	100	13,53	1.353,00
ITUB3	Compra	15/08/2017	100	34,79	3.479,00
ABEV3	Compra	15/09/2017	100	21,23	2.123,00
GRND3	Compra	15/09/2017	100	28,44	2.844,00
ITUB3	Compra	15/09/2017	100	38,05	3.805,00
MDIA3	Compra	15/09/2017	100	49,92	4.992,00
SAUD3	Compra	15/09/2017	100	15,85	1.585,00
PSSA3	Compra	15/09/2017	100	37,40	3.740,00
WEGE3	Compra	15/09/2017	100	22,81	2.281,00
ABEV3	Compra	01/03/2018	100	21,93	2.193,00
WEGE3	Compra	01/03/2018	100	24,73	2.473,00
SAUD3	Compra	02/01/2018	200	16,50	3.300,00
WEGE3	Compra	02/01/2018	100	23,80	2.380,00
ABEV3	Compra	03/12/2018	100	23,75	2.375,00
SAUD3	Compra	03/12/2018	100	15,91	1.591,00
WEGE3	Compra	03/12/2018	100	23,17	2.317,00
EGIE3	Compra	16/04/2018	100	37,70	3.780,00
LREN3	Compra	16/04/2018	100	33,30	3.340,00
WEGE3	Compra	25/04/2018	150	4,07	610,50
GRND3	Desdobramento 	01/06/2018	400	0,00	4,00
EGIE3	Compra	18/06/2018	100	33,88	3.398,00
LREN3	Compra	07/03/2018	100	29,37	2.937,00
GRND3	Compra	13/07/2018	200	8,19	1.638,00
GRND3	Compra	17/09/2018	100	7,01	711,00
BBDC3	Compra	16/10/2018	100	28,72	2.872,00
ABEV3	Compra	29/10/2018	100	15,60	1.560,00
BBDC3	Compra	29/10/2018	100	30,94	3.094,00
GRND3	Compra	29/10/2018	100	7,48	748,00
RENT3	Compra	29/10/2018	100	27,59	2.759,00
RENT3	Compra	19/11/2018	100	27,50	2.750,00
ITUB3	Desdobramento 	21/11/2018	100	0,00	0,00
RENT3	Compra	12/03/2018	100	27,20	2.720,00
BBDC3	Compra	14/12/2018	100	34,06	3.406,00
EGIE3	Compra	17/12/2018	50	12,71	635,50
SAUD3	Compra	15/01/2019	100	14,75	1.475,00
GRND3	Compra	15/04/2019	200	8,12	1.624,00
